Yahoo,Facebook,Apple,Microsoft,Adobe,IBM,Amazon,Oracle,avg,dif,avg /6,rot pi/360,
29.23,85.720001,107.860001,43.049999,79.830002,142.470001,496.070007,35.509998,127.4675011,3.121251625,21.24458352,,
29.219999,88.18,112.440002,43.209999,80.519997,142.520004,504.059998,35.439999,129.4487498,-1.981248625,21.57479163,,
29.709999,92.059998,114.019997,43.759998,83.129997,145.419998,524.25,36.049999,133.5499983,-4.1012485,22.25833304,,
29.57,92.239998,112.370003,43.27,83.910004,144.410004,533.75,36.060001,134.4475013,-0.897503,22.40791688,,
30.57,92.800003,113.300003,43.509998,85.5,143.660004,536.070007,35.990002,135.1750021,-0.727500875,22.52916702,,
30.92,91.919998,112.519997,43.310001,84.660004,144.429993,538.400024,36.189999,135.293752,-0.118749875,22.54895867,,
31.74,94.519997,113.660004,43.599998,83.32,146.479996,548.390015,36.830002,137.3175015,-2.0237495,22.88625025,,
30.799999,93.050003,111.870003,43.330002,81.25,144.509995,540.26001,36.380001,135.1812516,2.136249875,22.5302086,,
31.33,92.900002,113.720001,44.080002,80.309998,148.139999,538.869995,36.740002,135.7612499,-0.57999825,22.62687498,,
31.77,92.629997,115.440002,43.84,80.529999,148.410004,527.390015,38.27,134.7850021,0.97624775,22.46416702,,
31.23,91.790001,114.419998,43.080002,79.529999,147.529999,522.369995,37.990002,133.4924995,1.292502625,22.24874992,,
30.92,91.599998,114.860001,42.860001,78.459999,145.649994,521.380005,37.560001,132.9112499,0.581249625,22.15187498,,
31.43,91.129997,111.760002,42.939999,79.190002,147.369995,529.440002,37.919998,133.8974994,-0.9862495,22.3162499,,
31.59,89.629997,109.900002,42.75,78.699997,146.199997,522.23999,37.610001,132.327498,1.570001375,22.054583,,
31.799999,90.169998,109.769997,42.91,78.519997,145.050003,516.890015,37.09,131.5250011,0.802496875,21.92083352,,
32.830002,88.830002,110.32,43.200001,79.779999,147.229996,517.539978,37.68,132.1762473,-0.651246125,22.02937454,,
32.290001,86.699997,108.510002,42.200001,76.889999,143.699997,499,36.27,128.1949996,3.981247625,21.36583327,,
32.740002,87.730003,110.040001,43.279999,78.32,146.779999,504.720001,36.900002,130.0637509,-1.86875125,21.67729181,,
32.029999,87.629997,109.129997,41.880001,77.25,145.050003,510.549988,36.75,130.0337481,0.03000275,21.67229135,,
32.099998,86.5,107.360001,41.66,75.989998,142.679993,496.540009,36.009998,127.3549996,2.6787485,21.22583327,,
32.990002,88.889999,112,43.099998,78.57,147.889999,512.890015,37.09,131.6775016,-4.322502,21.94625027,,
33.57,89.790001,111.540001,43.389999,79.400002,147.979996,518.01001,37.459999,132.642501,-0.964999375,22.1070835,,
33.77,87.190002,110.019997,42.93,78.910004,148.539993,518.369995,36.82,132.0687489,0.573752125,22.01145815,,
32.619999,83.260002,105.050003,41.060001,77.330002,146.699997,500.769989,36.91,127.9624991,4.10624975,21.32708319,,
33.029999,83,103.5,40.389999,74.57,140.960007,466.369995,35.450001,122.1587501,5.803749,20.35979169,,
32.279999,72,92,39.720001,74.269997,143.470001,463.369995,36.080002,119.1487494,3.01000075,19.8581249,,
34.02,85.610001,105.650002,43.07,78.870003,148.850006,494.470001,37.549999,128.5112515,-9.362502125,21.41854192,,
34.950001,90.459999,111.629997,45.66,82.690002,152.660004,515.780029,38.630001,134.0575041,-5.546252625,22.34291735,,
35.669998,94.160004,114.68,46.299999,85.480003,153.940002,532.919983,39.529999,137.8349985,-3.777494375,22.97249975,,
36.189999,94.040001,116.010002,46.700001,86.449997,156.009995,535.02002,39.830002,138.7812521,-0.946253625,23.13020869,,
36.240002,93.389999,115.5,46.57,86.769997,156.309998,535.219971,39.720001,138.714996,0.066256125,23.119166,,
36.349998,93.209999,114.010002,46.52,86.120003,155.75,531.52002,39.41,137.8612528,0.85374325,22.97687546,,
36.610001,93.349998,114.540001,46.490002,84.309998,155.070007,529.659973,39.310001,137.4174976,0.443755125,22.90291627,,
34.77,91.190002,109.629997,45.709999,83.82,156.160004,525.909973,39.279999,135.8087468,1.608750875,22.63479113,,
36.77,92.900002,113.330002,45.900002,83.900002,155.509995,527.460022,39.169998,136.8675029,-1.058756125,22.81125048,,
37.689999,93.629997,116.529999,46.84,83.620003,156.75,524,39.889999,137.3687496,-0.50124675,22.8947916,,
36.759998,93.610001,114.5,46.259998,82.690002,155.119995,522.619995,39.560001,136.3899988,0.978750875,22.73166646,,
37.52,94.419998,114.120003,46.330002,82.190002,156.320007,529.460022,39.32,137.4600043,-1.0700055,22.91000071,,
37.709999,95.18,112.099998,47.540001,83.379997,157.899994,537.01001,39.639999,138.8074998,-1.3474955,23.13458329,,
37.209999,93.330002,113.25,46.68,82.059998,157.600006,531.900024,39.66,137.7112536,1.096246125,22.9518756,,
36.98,92.800003,117.519997,46.450001,81.400002,158.710007,535.030029,39.709999,138.5750048,-0.863751125,23.09583413,,
37.57,93.949997,120.910004,46.5,81.989998,161.990005,536.150024,39.939999,139.8750034,-1.299998625,23.31250056,,
37.689999,91.800003,121.709999,45.93,81.290001,160.960007,536.76001,39.650002,139.4737526,0.40125075,23.24562544,,
37.919998,94.739998,122.269997,45.259998,80.25,161.089996,529,39.790001,138.7899985,0.683754125,23.13166642,,
37.919998,93.309998,122.550003,44.790001,80.589996,160.050003,526.030029,39.279999,138.0650034,0.724995125,23.0108339,,
38.310001,93.830002,122.120003,45.25,79.93,159.070007,531.409973,38.509998,138.553748,-0.488744625,23.09229133,,
39.580002,95.879997,123.900002,45.799999,80.980003,159.75,529.419983,39,139.2887483,-0.73500025,23.21479138,,
39.779999,94.809998,125.059998,45.099998,80.639999,161.729996,482.179993,39,133.5374976,5.751250625,22.2562496,,
39.630001,95.919998,121.989998,45.200001,80.730003,160.350006,488.269989,39.419998,133.9387493,-0.401251625,22.32312488,,
