CET,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-2-6,6,3,0,2,1,-1,100,82,62,1016,1011,1008,19,9,0,45,27,64,1.02,5,Rain-Snow,96
2015-2-7,2,0,-1,0,-1,-2,100,91,80,1024,1021,1016,10,7,3,19,11,,0.00,6,Snow,24
2015-2-8,1,-1,-2,-1,-2,-4,100,87,70,1019,1012,1008,14,7,1,39,21,,0.00,6,Snow,281
2015-2-9,0,-2,-5,-3,-6,-8,93,78,57,1020,1017,1013,19,11,5,32,24,,0.51,4,Snow,309
2015-2-10,3,0,-2,0,-1,-2,100,90,74,1026,1021,1017,10,7,3,24,14,,0.00,6,Rain-Snow,318
2015-2-11,4,2,0,1,1,-1,100,89,72,1028,1026,1025,10,6,3,19,10,,0.00,4,,338
2015-2-12,6,1,-4,-2,-4,-7,100,73,31,1031,1029,1028,10,6,2,13,8,,0.00,,,95
2015-2-13,8,2,-4,0,-3,-6,93,70,26,1029,1026,1022,19,5,2,13,5,,0.00,,Fog,73
2015-2-14,8,2,-4,2,-1,-4,93,81,52,1023,1020,1018,7,4,0,13,6,,0.00,2,Fog,237
2015-2-15,11,4,-2,0,-3,-5,87,62,30,1021,1018,1017,14,9,5,24,10,,0.00,,,115
2015-2-16,8,3,-2,-1,-2,-4,81,67,39,1028,1023,1020,14,13,10,32,14,,0.00,,,104
2015-2-17,4,-1,-5,-3,-6,-10,80,62,32,1040,1034,1028,19,15,10,34,26,,0.00,,,113
2015-2-18,4,-2,-8,-7,-9,-12,86,57,19,1042,1039,1038,19,12,6,19,8,,0.00,,,330
2015-2-19,7,1,-4,-4,-6,-8,80,62,25,1039,1034,1029,10,8,6,11,8,,0.00,,,230
