DAY,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-4-14,6,2,-2,1,-4,-7,100,67,36,1008,1006,1002,19,9,1,32,13,35,0.51,8,Rain-Snow,214
2015-4-15,3,0,-2,1,-3,-8,100,70,43,1004,1003,1001,19,10,5,21,16,35,2.03,5,Rain-Snow,247
2015-4-16,0,-3,-6,-4,-6,-8,86,70,60,1014,1007,1003,19,10,4,21,13,40,0.25,7,Snow,272
2015-4-17,4,-2,-8,0,-6,-9,100,72,41,1017,1013,1006,19,10,6,29,10,43,0.00,4,Snow,119
2015-4-18,10,7,3,4,1,-2,100,71,41,1007,1003,997,19,10,9,29,13,40,0.00,8,Rain,151
2015-4-19,6,3,2,4,2,-1,100,88,63,1002,998,997,19,9,1,26,14,32,2.03,7,Rain-Snow,208
2015-4-20,4,2,-1,2,-2,-6,100,74,47,1010,1005,1001,19,10,8,18,11,32,1.02,7,Snow,242
2015-4-21,4,0,-4,1,-3,-6,94,73,52,1012,1008,1000,19,10,6,32,11,47,2.03,8,Rain,107
2015-4-22,12,7,2,5,0,-4,100,68,28,1005,1003,1000,19,4,0,21,10,29,4.06,8,Fog-Rain,201
2015-4-23,8,4,1,2,-2,-5,96,62,37,1004,1003,1001,19,12,10,18,11,29,0.00,3,Rain,229
2015-4-24,4,3,1,3,-1,-6,94,73,43,1001,993,988,19,9,5,32,19,50,7.11,8,Rain-Snow,164
2015-4-25,9,4,1,4,1,-1,96,78,41,1001,996,990,19,10,6,29,14,47,2.03,7,Rain-Snow,171
2015-4-26,6,3,1,3,1,0,94,84,65,994,990,988,19,10,7,35,19,50,3.05,7,Rain-Snow,216
2015-4-27,2,1,-1,0,-4,-8,94,73,40,1002,996,993,19,10,8,21,11,43,0.25,6,Snow,288
2015-4-28,3,0,-3,-6,-8,-11,69,51,36,1019,1011,1002,19,11,10,101,16,43,0.00,4,,274
2015-4-29,7,1,-5,2,-7,-11,87,54,26,1022,1017,1007,19,11,10,35,13,64,0.00,7,Rain,223
2015-4-30,4,2,1,3,-3,-6,94,65,42,1024,1013,1006,19,10,9,32,19,55,1.02,6,Rain,280
2015-5-1,13,6,-2,6,-3,-7,74,59,33,1026,1021,1013,19,11,10,26,11,,0.00,5,Rain,164
2015-5-2,6,3,1,6,-6,-11,87,48,26,1031,1025,1014,19,11,10,35,18,61,1.02,5,Rain,288
2015-5-3,15,8,1,-3,-6,-9,65,39,18,1031,1029,1024,19,19,19,26,13,40,0.00,8,,247
2015-5-4,21,12,3,2,-4,-7,60,34,15,1025,1022,1021,19,19,19,18,10,26,0.00,8,,247
2015-5-5,23,14,5,5,-2,-6,66,33,14,1022,1019,1015,19,14,9,14,5,,0.00,,,144
2015-5-6,13,11,8,5,-1,-5,68,41,30,1015,1011,1010,19,19,19,43,24,61,0.00,8,,111
2015-5-7,4,3,2,2,-1,-4,87,66,40,1017,1013,1010,19,10,5,26,14,,0.00,7,Rain,13
2015-5-8,9,4,-1,1,-2,-6,97,64,33,1017,1015,1014,19,12,7,18,8,29,0.00,5,,30
2015-5-9,13,6,-2,1,-1,-4,100,64,29,1014,1010,1008,19,5,0,21,6,35,0.00,8,Fog,336
2015-5-10,8,4,1,3,-2,-4,75,64,53,1009,1005,1003,19,11,10,26,16,32,0.00,5,,359
2015-5-11,9,6,2,2,-2,-4,75,58,42,1019,1014,1007,19,11,10,21,14,35,0.00,6,,340
2015-5-12,15,7,-1,2,-1,-3,93,54,27,1024,1022,1020,19,19,19,14,6,26,0.00,,,295
2015-5-13,21,13,5,4,-1,-4,62,37,18,1021,1018,1015,19,15,10,21,11,35,0.00,3,,221
2015-5-14,23,16,9,8,1,-4,62,36,15,1017,1016,1015,19,11,7,21,8,,0.00,2,,227
2015-5-15,24,17,10,8,3,-1,69,39,19,1018,1017,1016,19,9,6,21,8,,0.00,2,,257
2015-5-16,24,17,9,9,3,-3,88,40,19,1019,1016,1013,19,13,9,18,5,,0.00,6,,123
2015-5-17,22,17,12,9,1,-9,67,35,12,1014,1010,1006,19,19,19,32,14,40,0.00,8,,93
2015-5-18,22,14,7,7,1,-3,71,37,19,1006,1004,1003,19,19,19,18,13,,0.00,8,,73
2015-5-19,19,16,12,13,9,6,100,68,46,1005,1004,1001,19,10,3,35,11,,1.02,6,Rain-Thunderstorm,145
2015-5-20,20,14,9,11,7,2,94,67,30,1004,1003,1002,19,11,9,29,18,,7.11,4,Rain,193
2015-5-21,12,9,5,10,7,5,96,90,77,1004,999,988,19,8,3,29,10,55,23.11,7,Rain,10
2015-5-22,9,7,5,8,6,4,93,86,71,1002,994,987,19,9,5,29,19,43,8.89,8,Rain,31
2015-5-23,14,10,5,5,2,0,93,62,37,1005,1003,1001,19,10,5,21,16,35,1.02,7,Rain,343
2015-5-24,14,10,5,4,0,-3,84,48,31,1013,1008,1005,19,19,19,18,10,32,0.00,,,343
2015-5-25,15,9,3,4,-1,-4,86,49,28,1016,1015,1013,19,19,19,14,10,,0.00,,,332
