+05,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-3-26,-2,-4,-8,0,-13,-19,100,53,15,1026,1016,1004,19,10,3,43,29,58,0.00,6,Snow,290
2015-3-27,-2,-7,-12,-16,-18,-22,73,41,13,1034,1029,1026,19,11,10,32,16,35,0.00,6,,315
2015-3-28,-4,-9,-13,-16,-19,-22,73,42,14,1045,1040,1033,19,11,10,26,11,35,0.00,6,,354
2015-3-29,4,-4,-13,-13,-16,-19,92,51,10,1048,1042,1037,19,10,0,26,6,,0.00,,,265
2015-3-30,4,-1,-7,-13,-16,-19,58,36,10,1040,1034,1031,10,10,10,35,23,,0.00,8,,272
2015-3-31,8,1,-6,-10,-15,-20,68,34,7,1036,1031,1029,19,9,5,29,19,,0.00,2,,281
2015-4-1,11,2,-6,-8,-14,-24,86,42,5,1032,1028,1026,19,9,2,11,3,,0.00,4,,105
2015-4-2,10,3,-4,-4,-8,-14,93,49,12,1030,1027,1026,19,13,10,18,5,29,0.00,,,129
2015-4-3,8,2,-4,-4,-7,-9,93,57,16,1031,1028,1027,19,13,10,21,8,,0.00,,,112
2015-4-4,8,2,-3,-2,-6,-8,93,60,20,1031,1028,1026,19,11,10,26,8,,0.00,0,Fog,97
2015-4-5,7,2,-2,-2,-4,-7,93,63,28,1030,1028,1027,19,11,10,35,11,58,0.00,2,,111
2015-4-6,4,1,-3,0,-4,-6,93,68,33,1030,1024,1021,19,10,7,29,18,29,0.00,8,Snow,114
2015-4-7,7,3,-1,1,-1,-5,100,78,32,1023,1020,1018,19,9,3,29,11,40,0.00,7,Fog-Rain-Snow,195
