anio,mes,dia,maxt,mint,maxh,minh,maxv,minv,meanw,precipitation
2015,3,13,16,-1,87,20,31,10,5,0.00
2015,3,14,14,2,87,33,19,10,3,0.00
2015,3,15,14,3,87,36,19,8,8,1.00
2015,3,16,12,8,100,70,14,7,6,1.00
2015,3,17,16,9,97,44,19,10,11,1.00
2015,3,18,19,6,87,31,19,10,8,0.00
2015,3,19,20,3,93,21,14,8,3,0.00
2015,3,20,21,3,93,15,19,9,3,0.00
2015,3,21,16,4,93,41,11,7,5,0.00
2015,3,22,17,8,87,39,19,10,10,0.00
2015,3,23,18,9,76,30,19,10,16,0.00
2015,3,24,18,8,88,48,19,5,5,1.00
2015,3,25,15,12,94,52,19,6,13,1.00
2015,3,26,16,8,100,67,26,6,13,1.00
2015,3,27,14,7,100,46,31,3,5,1.00
2015,3,28,19,7,71,14,31,31,10,0.00
2015,3,29,19,3,87,20,,,6,0.00
2015,3,30,18,8,94,49,19,10,8,0.00
2015,3,31,20,8,100,47,19,6,8,0.00
2015,4,1,22,8,94,5,31,6,6,0.00
2015,4,2,20,2,87,16,31,14,8,0.00
2015,4,3,20,3,93,21,31,10,6,0.00
2015,4,4,14,8,100,30,26,3,8,1.00
2015,4,5,11,8,87,37,31,8,14,0.00
2015,4,6,13,4,61,14,31,10,16,0.00
2015,4,7,14,1,81,13,26,10,10,0.00
2015,4,8,18,-1,86,17,19,19,6,0.00
2015,4,9,22,3,93,20,26,14,5,0.00
2015,4,10,21,5,93,19,31,7,5,0.00
2015,4,11,19,6,93,40,31,10,6,0.00
2015,4,12,24,6,100,24,31,10,6,0.00
2015,4,13,24,6,93,29,31,14,6,0.00
2015,4,14,22,8,88,44,14,6,6,0.00
2015,4,15,24,8,94,20,26,8,6,0.00
2015,4,16,24,8,93,33,26,10,6,0.00
2015,4,17,20,12,94,36,26,8,6,0.00
2015,4,18,20,12,100,49,14,3,5,1.00
2015,4,19,16,10,62,29,31,10,23,0.00
2015,4,20,23,6,62,13,31,26,6,0.00
2015,4,21,24,4,81,15,19,14,5,0.00
2015,4,22,24,6,81,19,31,19,8,0.00
2015,4,23,23,8,94,19,26,8,5,3.05
2015,4,24,23,9,95,34,19,10,6,0.00
2015,4,25,22,7,94,41,19,8,5,0.00
2015,4,26,22,13,94,55,19,3,5,1.00
2015,4,27,18,11,100,58,26,3,10,1.00
2015,4,28,19,9,100,58,26,4,5,1.00
2015,4,29,23,12,100,35,19,2,6,1.00
2015,4,30,19,10,94,43,26,10,10,0.00
2015,5,1,20,10,94,46,26,10,8,1.00
2015,5,2,22,13,100,63,31,6,5,1.00
2015,5,3,23,14,94,54,31,10,6,0.00
2015,5,4,27,13,100,38,26,14,5,0.00
2015,5,5,30,14,94,28,26,10,5,0.00
