PET,MaxTemperatureC,MeanTemperatureC,MinTemperatureC,DewPointC,MeanDewPointC,MinDewpointC,MaxHumidity,MeanHumidity,MinHumidity,MaxSeaLevelPressurehPMeanSeaLevelPressurehPa,MinSeaLevelPressurehPa,MaxVisibility,MeanVisibility,MinVisibility,MaxWindSpeed,MeanWindSpeed,MaxGust Speed,Precipitationmm,CloudCover,Events,WindDirDegrees
1,31,27,22,24,23,22,97,89,70,1016,1012,1008,10,9,1,111,6,37,0.00,5,Rain,310
1,32,28,23,25,23,22,100,87,58,1016,1011,1006,10,7,0,21,3,40,0.00,5,Fog,1
1,33,28,23,24,23,22,97,84,55,1015,1010,1006,10,9,5,23,5,,0.00,6,Fog,1
1,30,27,23,24,23,22,95,89,74,1016,1011,1008,10,9,6,13,3,,0.00,6,Fog-Rain-Thunderstorm,42
1,31,27,22,24,23,22,94,87,62,1014,1011,1006,10,8,0,13,5,,0.00,6,Fog,166
1,30,27,23,24,23,22,95,91,65,1015,1011,1009,10,9,8,8,2,,0.00,3,Fog,200
1,29,26,22,24,23,22,94,88,72,1017,1012,1009,10,9,5,13,6,,0.00,7,Rain,136
1,32,27,22,24,23,22,97,85,62,1018,1013,1010,10,9,2,19,6,,0.00,6,Fog-Rain,255
2,31,27,22,24,23,22,95,86,52,1019,1013,1010,10,10,8,10,5,,0.00,5,Fog,241
2,30,26,22,24,22,21,94,88,59,1019,1013,1011,10,9,1,34,6,42,0.00,6,Rain-Thunderstorm,218
2,32,27,22,24,22,21,94,85,54,1020,1013,1009,10,8,1,27,5,,0.00,6,Fog-Rain,262
2,32,26,21,24,23,21,94,83,47,1017,1011,1007,10,9,0,16,5,,0.00,5,Fog-Rain,339
2,31,27,23,24,23,22,94,84,59,1016,1011,1007,10,9,8,13,8,,0.00,6,,281
2,32,28,23,24,23,22,96,82,62,1016,1011,1006,10,10,7,10,3,,0.00,4,Fog,291
2,34,28,22,25,23,21,94,81,52,1014,1009,1005,10,9,6,14,6,,0.00,5,Fog-Rain-Thunderstorm,345
2,33,28,24,25,23,23,95,86,55,1015,1010,1005,10,9,3,24,2,39,0.00,6,Fog-Rain,42
2,32,27,22,24,23,22,94,85,60,1016,1010,1006,10,9,2,19,6,,0.00,6,Rain-Thunderstorm,50
2,32,27,23,25,24,22,95,86,54,1015,1010,1006,10,7,0,16,2,,0.00,5,Fog,56
2,32,28,24,25,24,22,99,85,55,1017,1011,1006,27,9,2,111,6,,0.00,6,Fog-Rain-Snow-Thunderstorm,143
2,32,27,22,25,23,22,100,88,59,1018,1012,1008,10,8,1,19,6,,0.00,6,Fog-Rain-Thunderstorm,158
2,32,28,23,25,23,22,96,86,63,1019,1013,1009,10,8,0,21,5,,0.00,6,Fog-Rain-Thunderstorm,282
2,30,27,23,23,23,22,96,87,70,1018,1013,1009,10,9,7,13,5,,0.00,7,Fog-Rain-Thunderstorm,346
2,32,28,24,24,23,23,94,82,53,1017,1012,1007,10,10,8,10,6,,0.00,6,Rain-Thunderstorm,260
2,31,27,23,25,23,22,100,86,59,1018,1012,1007,10,9,3,19,6,,0.00,6,Rain-Thunderstorm,321
2,32,28,24,26,24,23,94,86,62,1018,1011,1007,10,10,8,10,3,,0.00,6,Rain-Thunderstorm,327
2,34,29,23,25,24,23,100,81,54,1015,1009,1005,10,9,1,14,5,,0.00,4,Fog,26
2,34,28,23,26,24,23,94,76,51,1012,1007,1004,10,10,10,16,6,,0.00,4,,24
2,34,29,23,26,24,23,100,80,49,1012,1007,1004,10,9,5,21,3,,0.00,5,,32
2,35,30,25,25,24,21,94,75,38,1013,1009,1006,10,9,8,16,5,,0.00,5,Fog,28
2,32,27,23,25,23,22,94,84,58,1017,1011,1007,10,9,2,26,8,,0.00,5,Rain,144
2,34,29,24,24,23,22,94,78,49,1015,1011,1006,10,10,10,14,5,,0.00,4,,97
2,29,26,23,25,24,23,100,88,72,1015,1010,1007,10,8,0,13,3,,0.00,4,Fog,139
2,31,27,23,24,23,22,94,88,63,1016,1011,1007,10,9,2,29,8,,0.00,6,Fog-Rain-Thunderstorm,156
2,32,28,23,24,23,22,94,84,58,1016,1011,1006,10,8,3,19,3,,0.00,5,Fog,246
2,32,27,22,25,23,22,94,86,56,1015,1011,1006,10,8,1,24,6,,0.00,6,Fog-Rain-Thunderstorm,341
2,31,27,23,24,23,22,94,83,57,1018,1012,1008,10,9,5,14,6,,0.00,6,Fog-Rain-Thunderstorm,98
3,27,24,22,24,22,21,94,89,68,1019,1013,1007,10,9,3,24,5,,0.00,6,Fog-Rain,52
3,34,28,22,24,23,21,94,82,47,1016,1010,1005,10,9,0,16,3,,0.00,6,Fog-Rain-Thunderstorm,342
3,33,28,23,25,24,22,95,82,59,1015,1010,1005,10,10,8,14,5,,0.00,5,Rain,359
3,33,28,23,25,23,22,95,84,52,1015,1009,1005,10,9,6,23,3,,0.00,4,,44
3,27,25,23,24,23,23,100,93,86,1015,1011,1007,10,8,4,18,5,,0.00,6,Rain-Thunderstorm,29
3,30,26,22,24,23,22,94,86,66,1016,1011,1006,10,9,4,10,3,,0.00,5,Fog-Rain,166
3,27,25,23,24,23,22,96,91,74,1016,1012,1008,10,8,0,16,5,37,0.00,6,Rain,21
3,32,27,22,25,23,21,95,86,59,1016,1010,1006,10,9,3,16,6,,0.00,5,Fog-Rain,245
3,31,27,23,25,24,23,95,88,70,1016,1010,1006,10,9,5,16,5,,0.00,5,Rain,237
3,33,28,23,26,24,23,95,85,59,1015,1010,1006,10,8,2,19,8,,0.00,6,Rain-Thunderstorm,274
3,30,26,22,24,23,22,94,91,74,1017,1012,1008,10,7,1,13,6,,0.00,7,Rain,254
3,31,27,23,24,23,21,96,87,66,1017,1011,1006,10,9,1,119,5,,0.00,6,Fog-Rain,257
3,32,28,23,25,24,23,96,84,56,1015,1009,1004,10,10,5,16,3,,0.00,4,Rain,5
3,31,27,22,24,23,22,94,84,55,1015,1009,1004,10,9,7,16,6,,0.00,5,Rain,42
3,29,26,23,25,23,23,100,91,78,1017,1010,1007,10,7,0,16,6,,0.00,6,Rain-Thunderstorm,265
3,30,27,23,24,24,23,100,86,64,1017,1011,1008,10,9,8,13,6,,0.00,6,Rain,193
3,32,28,23,25,24,22,94,88,55,1016,1011,1006,10,9,2,11,3,,0.00,6,Fog-Rain,299
3,28,26,24,24,23,23,94,89,73,1016,1011,1007,10,9,3,14,8,,0.00,7,Rain,39
3,31,27,23,25,23,13,100,88,30,1017,1011,1008,10,9,0,24,6,,0.00,5,Rain-Thunderstorm,232
3,30,27,23,25,23,22,100,89,69,1016,1012,1009,10,8,0,21,5,,0.00,7,Fog-Rain-Thunderstorm,341
3,30,26,22,24,23,22,97,87,65,1018,1012,1008,10,8,0,24,6,,0.00,6,Rain-Thunderstorm,323
3,30,26,21,24,22,20,94,91,70,1016,1012,1010,10,8,0,34,8,,0.00,8,Fog-Rain-Thunderstorm,312
3,32,27,21,25,23,21,96,84,56,1019,1013,1009,10,9,8,13,5,,0.00,6,Fog-Rain-Thunderstorm,246
3,32,27,22,24,23,22,94,86,59,1019,1013,1009,10,9,5,19,5,,0.00,6,Rain-Thunderstorm,268
3,33,28,23,25,23,22,96,84,55,1018,1012,1008,10,9,1,24,5,42,0.00,6,Fog-Rain-Thunderstorm,287
3,31,27,22,25,23,22,94,85,58,1017,1012,1007,10,9,3,11,5,,0.00,6,,212
3,34,29,23,25,24,23,94,79,44,1016,1011,1006,10,10,8,21,3,,0.00,4,Fog-Thunderstorm,17
3,31,27,23,25,24,22,95,88,66,1019,1013,1009,10,8,1,24,10,,0.00,6,Fog-Rain-Thunderstorm,151
3,32,27,23,24,23,22,97,83,59,1020,1014,1010,10,10,8,14,5,,0.00,5,,208
3,32,27,23,25,23,22,100,89,62,1016,1012,1010,10,8,0,24,8,,0.00,6,Fog-Rain,19
3,32,28,23,24,23,22,100,83,53,1018,1012,1008,10,9,5,11,3,,0.00,5,Fog,67
4,35,29,23,24,23,22,96,81,52,1016,1012,1007,10,10,7,16,3,,0.00,5,Rain,96
4,27,24,22,24,23,21,100,92,75,1020,1013,1009,10,6,0,16,10,,0.00,7,Rain-Thunderstorm,231
4,31,27,23,24,23,22,94,84,60,1017,1011,1007,10,10,8,11,5,,0.00,5,,306
4,33,28,23,24,23,23,95,81,55,1014,1009,1004,10,9,2,16,6,,0.00,5,Rain,21
4,33,28,23,25,23,22,94,80,45,1014,1009,1004,10,10,8,16,8,,0.00,5,,345
4,30,26,21,24,23,21,100,89,73,1016,1011,1006,10,8,1,26,8,,0.00,6,Rain,254
4,32,28,23,24,23,23,95,87,55,1018,1012,1008,10,9,1,14,6,,0.00,6,Rain,191
4,32,28,23,25,23,22,94,82,54,1016,1010,1007,10,10,10,11,5,,13.97,3,Rain,239
4,29,27,23,25,23,23,94,90,72,1017,1012,1008,10,9,3,16,5,,0.00,6,Rain,243
4,32,28,23,24,23,22,95,85,58,1017,1012,1009,10,9,1,29,6,,0.00,5,Rain,135
4,27,24,23,24,23,22,100,93,87,1019,1014,1011,10,7,1,61,10,,0.00,7,Rain,221
4,31,27,22,25,23,22,95,82,51,1020,1014,1009,10,10,8,10,3,,0.00,5,Fog,261
4,32,28,24,24,23,23,94,85,62,1019,1014,1009,10,10,8,19,3,,0.00,5,Fog,310
4,34,28,23,24,23,20,100,81,44,1018,1013,1008,10,9,8,14,5,,0.00,4,Fog,345
4,31,27,23,24,23,22,100,85,56,1018,1012,1007,10,9,4,27,6,,0.00,5,Rain,1
4,33,28,24,25,23,22,94,84,61,1017,1012,1007,10,10,8,16,8,34,0.00,5,Rain,16
4,31,27,23,25,23,23,94,83,54,1017,1012,1007,10,9,8,16,8,,0.00,5,Fog-Rain,26
4,32,28,23,24,23,21,94,86,46,1018,1013,1011,10,10,8,16,5,,0.00,5,Rain,86
4,34,29,24,25,24,23,95,83,55,1018,1011,1007,10,9,5,14,5,,0.00,4,Fog-Rain,216
4,31,27,23,25,24,22,94,83,51,1016,1011,1006,10,9,2,19,6,,0.00,4,Rain-Thunderstorm,314
4,33,28,23,24,23,22,94,85,61,1017,1012,1008,10,8,1,24,11,,0.00,6,Rain-Thunderstorm,256
4,29,26,22,24,23,22,94,88,66,1017,1012,1009,10,8,1,124,10,37,0.00,5,Rain-Thunderstorm,230
4,31,27,22,24,23,22,94,85,59,1019,1013,1008,10,10,8,10,3,,0.00,5,Rain,38
4,33,28,22,25,24,22,99,86,56,1018,1013,1009,10,9,6,14,6,,0.00,4,Fog,204
4,32,28,23,24,23,23,96,87,56,1019,1013,1009,10,9,5,24,5,,0.00,5,Fog-Rain-Thunderstorm,348
4,31,27,23,24,23,22,96,87,64,1019,1013,1008,10,8,1,14,3,,0.00,4,Fog,222
4,31,27,24,24,23,23,96,88,61,1015,1011,1007,10,9,3,21,3,,0.00,6,Rain,137
4,31,27,23,24,23,22,95,89,66,1016,1011,1008,10,9,6,14,3,,0.00,5,Rain-Thunderstorm,101
4,28,26,23,24,23,22,100,92,83,1017,1012,1008,10,8,1,27,6,,0.00,7,Rain,276
4,26,24,22,23,22,22,97,91,81,1018,1013,1009,10,10,8,13,3,,0.00,6,Fog-Rain,187
5,32,27,22,24,23,22,100,83,62,1018,1012,1008,10,9,6,11,3,,0.00,5,Fog,13
5,31,27,23,24,23,22,100,89,57,1015,1010,1006,10,7,0,19,3,,0.00,5,Fog-Rain,239
5,32,28,23,25,23,22,95,85,62,1015,1010,1006,10,9,5,23,8,40,0.00,5,Rain,31
5,30,27,23,24,23,22,95,88,71,1018,1012,1009,10,9,4,23,6,,0.00,7,Fog-Rain,351
5,30,27,24,24,23,23,94,85,54,1020,1013,1009,10,9,5,10,3,,0.00,6,Rain,166
5,30,27,23,24,23,22,95,85,23,1018,1014,1010,10,9,4,11,3,,0.00,4,Fog,229
5,29,26,23,24,23,22,100,88,66,1019,1014,1009,10,9,8,10,5,,0.00,7,Fog-Rain,157
5,31,27,22,24,23,21,94,83,62,1019,1013,1009,10,9,6,14,3,,0.00,4,Rain,125
5,30,27,23,24,23,23,94,88,68,1019,1013,1009,10,9,3,14,8,,0.00,5,Fog-Rain,307
5,31,27,23,24,23,22,100,87,58,1018,1013,1009,10,8,1,21,3,35,0.00,6,Fog-Rain,316
5,32,27,23,25,23,22,97,86,55,1017,1012,1008,10,9,3,10,5,,0.00,5,Fog-Rain,106
5,29,26,23,25,23,23,100,89,63,1018,1012,1009,10,8,1,16,8,,0.00,5,Rain,175
5,28,26,23,24,23,22,100,91,70,1018,1013,1009,10,8,4,11,6,,0.00,6,Fog-Rain,182
5,29,26,22,24,23,22,100,90,70,1018,1013,1010,10,8,0,27,6,45,0.00,6,Fog-Rain,229
5,29,25,21,24,23,21,100,85,64,1018,1013,1009,10,9,5,13,5,,0.00,5,Fog,214
5,31,27,23,24,23,23,95,88,70,1020,1014,1011,10,9,5,10,3,,0.00,6,Rain,152
5,29,26,22,23,22,21,95,81,62,1021,1015,1012,10,10,8,19,8,,0.00,4,Rain,178
5,30,26,22,24,23,22,100,85,57,1020,1015,1012,10,10,8,13,3,,0.00,4,Fog,247
5,34,28,22,24,23,22,100,82,51,1019,1013,1010,10,9,0,11,3,,0.00,4,Fog,331
5,31,27,22,25,24,22,94,86,65,1019,1014,1009,10,9,3,14,6,,0.00,6,Rain,103
5,32,27,23,25,23,22,95,83,55,1019,1013,1010,10,8,0,14,5,,0.00,5,Fog,268
5,34,28,22,25,24,22,100,80,53,1019,1013,1010,10,10,8,10,3,,0.00,4,Fog,20
5,32,28,23,24,24,23,94,86,57,1020,1014,1010,10,9,5,19,6,,0.00,5,Rain-Thunderstorm,351
5,32,28,23,24,24,23,100,85,55,1017,1012,1009,10,9,8,14,3,,0.00,5,Fog,287
5,34,28,23,24,24,23,94,79,53,1017,1012,1008,10,9,5,11,3,,0.00,4,Fog,344
5,32,28,24,25,23,23,95,86,62,1016,1012,1009,10,8,2,21,8,,0.00,5,Fog-Rain,13
5,31,27,23,24,23,22,100,85,57,1018,1012,1008,10,9,1,16,6,,0.00,5,Fog-Rain,224
5,32,27,23,24,23,22,100,85,59,1017,1012,1007,10,9,8,11,5,,0.00,5,Fog-Rain,310
5,28,25,22,24,23,23,94,91,72,1018,1012,1009,10,8,3,10,6,,0.00,6,Fog-Rain,251
5,32,28,23,24,23,23,94,88,54,1016,1011,1009,10,8,1,23,3,,0.00,5,Fog-Rain-Thunderstorm,357
5,33,28,23,24,23,23,94,83,53,1017,1012,1009,10,9,8,10,3,,0.00,5,Fog-Rain-Thunderstorm,7
6,32,28,23,25,24,22,95,82,60,1018,1013,1009,10,10,8,14,6,,0.00,4,,212
6,32,28,23,25,23,22,94,84,56,1018,1013,1008,10,7,0,10,3,,0.00,5,Fog,214
6,31,27,23,24,24,23,100,87,61,1017,1012,1008,10,9,3,13,5,,0.00,6,Rain-Thunderstorm,149
6,32,28,23,25,24,23,95,82,59,1019,1013,1009,10,10,8,14,5,,0.00,4,,98
6,32,28,24,24,24,23,96,85,64,1017,1013,1010,10,9,5,14,5,,0.00,3,Fog,132
6,28,26,23,24,23,22,94,90,72,1018,1013,1009,10,8,2,11,5,,0.00,5,Rain,255
6,33,27,21,25,23,22,100,82,52,1018,1012,1009,10,9,3,23,5,,0.00,4,Fog-Rain-Thunderstorm,44
6,32,28,23,24,24,23,100,86,61,1019,1013,1009,10,9,7,10,3,,0.00,5,Fog-Rain,2
6,30,27,23,24,23,22,97,89,66,1018,1013,1009,10,9,6,19,6,,0.00,5,Rain,309
6,32,27,22,24,23,22,95,83,56,1016,1012,1008,10,9,8,13,5,,0.00,4,Fog,343
6,33,28,23,24,23,22,94,81,44,1018,1013,1009,10,9,0,13,6,,0.00,4,Fog-Rain,313
6,32,27,22,24,23,21,100,84,56,1017,1013,1009,10,10,8,23,8,,0.00,4,Rain-Thunderstorm,42
6,31,27,22,24,23,23,100,87,65,1018,1013,1009,10,9,1,19,5,,0.00,4,Fog-Rain-Thunderstorm,305
6,32,27,22,24,23,22,97,82,57,1016,1011,1008,10,9,0,11,2,,0.00,4,Fog,28
6,34,28,22,24,24,22,95,84,49,1017,1012,1008,10,9,3,19,5,,0.00,4,Fog-Rain,30
6,32,28,23,24,23,22,100,87,55,1019,1013,1009,10,8,0,16,5,,0.00,5,Fog-Rain,31
6,32,27,22,24,23,21,100,83,52,1019,1013,1008,10,8,0,10,3,,0.00,4,Fog,182
6,32,27,22,24,23,22,94,80,54,1018,1013,1010,10,10,7,10,5,,2.03,3,Fog-Rain,36
6,31,27,23,24,23,22,97,82,51,1019,1014,1010,10,10,8,24,6,,0.00,4,Rain,141
6,26,23,21,23,21,19,94,83,65,1020,1016,1014,10,9,7,16,8,,0.00,6,Fog-Rain,166
6,30,26,22,23,22,21,94,81,56,1021,1016,1013,10,9,4,14,5,,0.00,5,,218
6,32,27,22,23,22,21,94,80,47,1020,1016,1013,10,9,8,19,5,,0.00,5,Fog-Rain,164
6,29,26,22,24,23,22,94,89,67,1021,1017,1013,10,8,2,13,6,,0.00,6,Fog-Rain,250
6,28,25,22,24,23,22,95,90,73,1023,1017,1014,10,9,2,13,5,,0.00,5,Rain,106
6,32,27,22,24,22,22,97,87,58,1021,1016,1012,10,7,0,23,3,48,0.00,4,Fog-Rain,187
6,32,27,21,24,22,21,100,83,46,1022,1016,1013,10,7,0,13,3,,0.00,4,Fog,198
6,33,27,21,24,22,21,95,81,49,1022,1016,1013,10,9,3,13,5,,0.00,2,Fog,208
6,28,24,20,24,22,20,100,89,66,1020,1015,1013,10,7,1,13,5,,0.00,5,Fog-Rain,317
6,31,26,21,24,22,21,95,82,53,1019,1014,1011,10,9,8,10,5,,0.00,4,Fog,304
6,33,28,22,23,23,22,94,80,51,1018,1014,1010,10,9,6,13,6,,0.00,4,Fog,360
